type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度,地址,市,行政區域
Feature,1000143.0,信義國中(莊敬),Point,"121.56644241644081, 25.02727971410058",121.5664424164408,25.02727971410058,台灣台北市信義區莊敬路421號,台北市,信義區
Feature,1000142.0,信義國中(莊敬),Point,"121.56663916649988, 25.027076069975156",121.56663916649988,25.027076069975163,台灣台北市信義區莊敬路426號,台北市,信義區
Feature,2131.0,信義通化街口,Point,"121.55392884931555, 25.033079494579244",121.55392884931557,25.033079494579248,台灣台北市大安區信義路四段258號4號,台北市,大安區
Feature,2132.0,信義通化街口,Point,"121.55467651018904, 25.0331737132688",121.55467651018905,25.0331737132688,台灣台北市大安區信義通化街口,台北市,大安區
Feature,13112.0,信義敦化路口,Point,"121.54841397907857, 25.03396384272681",121.54841397907856,25.03396384272681,台灣台北市大安區敦化南路1段364號,台北市,大安區
Feature,2329.0,信義敦化路口,Point,"121.54936077172854, 25.033277601355646",121.54936077172856,25.03327760135565,台灣台北市大安區信義敦化路口,台北市,大安區
Feature,13102.0,信義敦化路口,Point,"121.54902364408474, 25.032797633675877",121.54902364408474,25.03279763367588,台灣台北市大安區敦化南路二段7號,台北市,大安區
Feature,2286.0,信義敦化路口,Point,"121.54810772012914, 25.033189872322993",121.54810772012915,25.033189872323,台灣台北市大安區信義路四段110號,台北市,大安區
Feature,6670.0,信義新生路口,Point,"121.53290268220996, 25.033205257082",121.53290268220995,25.033205257082,台灣台北市大安區信義新生路口,台北市,大安區
Feature,6669.0,信義新生路口,Point,"121.53261725660016, 25.03397952879242",121.53261725660015,25.033979528792425,台灣台北市中正區信義新生路口,台北市,中正區
Feature,2134.0,信義新生路口,Point,"121.53313265276998, 25.03362796578",121.53313265276998,25.03362796578,台灣台北市大安區信義新生路口,台北市,大安區
Feature,2133.0,信義新生路口,Point,"121.53232830918998, 25.033530162139975",121.53232830918999,25.033530162139968,台灣台北市大安區信義路二段246號,台北市,大安區
Feature,754.0,前半嶺,Point,"121.568, 25.116555",121.568,25.116554999999998,台灣台北市士林區川瀨,台北市,士林區
Feature,9463.0,前半嶺,Point,"121.56823703438995, 25.11695642825001",121.56823703438995,25.116956428250013,台灣台北市士林區至善路三段71巷11弄20號,台北市,士林區
Feature,50644.0,前港公園,Point,"121.51941, 25.08657",121.51941000000001,25.086570000000002,台灣台北市士林區前港公園,台北市,士林區
Feature,756.0,前港公園,Point,"121.51951, 25.08654",121.51951000000001,25.08654,台灣台北市士林區前港公園,台北市,士林區
Feature,16005.0,南京三民路口,Point,"121.56113, 25.05156",121.56113,25.051560000000002,台灣台北市松山區南京三民路口,台北市,松山區
Feature,16030.0,南京三民路口,Point,"121.56017, 25.05154",121.56017,25.05154,台灣台北市松山區南京三民路口,台北市,松山區
Feature,1545.0,南京公寓(捷運南京三民),Point,"121.56492, 25.05134",121.56492,25.05134,台灣台北市松山區南京公寓(捷運南京三民),台北市,松山區
Feature,50160.0,南京公寓(捷運南京三民),Point,"121.56518, 25.05154",121.56518,25.05154,台灣台北市松山區南京東路五段253號,台北市,松山區
Feature,16012.0,南京吉林路口,Point,"121.52940900359567, 25.052076565035716",121.52940900359569,25.05207656503572,台灣台北市中山區南京東路二段41巷38號,台北市,中山區
Feature,16023.0,南京吉林路口,Point,"121.52990905905948, 25.05200649193682",121.52990905905949,25.052006491936822,台灣台北市中山區南京吉林路口,台北市,中山區
Feature,5999.0,南京西路口(鈕釦街),Point,"121.51179166137996, 25.054301403378975",121.51179166137995,25.054301403378968,台灣台北市大同區延平北路二段9號,台北市,大同區
Feature,1445.0,南京西路口(鈕釦街),Point,"121.51156495700997, 25.054603824832984",121.51156495700994,25.054603824832984,台灣台北市大同區延平北路二段22號,台北市,大同區
Feature,20402.0,南京西路口(塔城),Point,"121.51031, 25.05265",121.51031,25.05265,台灣台北市大同區南京西路口(塔城),台北市,大同區
Feature,1000995.0,南京西路口(塔城),Point,"121.51045528055516, 25.052878080493734",121.51045528055515,25.05287808049373,台灣台北市大同區南京西路口(塔城),台北市,大同區
Feature,4802.0,南京西寧路口,Point,"121.50871372300328, 25.053042507408882",121.50871372300327,25.053042507408882,台灣台北市大同區西寧北路27號,台北市,大同區
Feature,4976.0,南京西寧路口,Point,"121.50851, 25.05293",121.50851000000002,25.05293,台灣台北市大同區西寧北路62-4號,台北市,大同區
Feature,1000195.0,南京東路口,Point,"121.53007, 25.051725",121.53007,25.051725,台灣台北市中山區吉林路60號,台北市,中山區
Feature,16013.0,南京林森路口,Point,"121.52557706733586, 25.0521412963552",121.52557706733586,25.0521412963552,台灣台北市中山區南京林森路口,台北市,中山區
Feature,16022.0,南京林森路口,Point,"121.52511705421195, 25.05204233647623",121.52511705421196,25.05204233647623,台灣台北市中山區南京東路一段70號,台北市,中山區
Feature,5046.0,南京金莊路口,Point,"121.58884, 25.06124",121.58883999999999,25.061239999999998,台灣台北市內湖區環東大道5號,台北市,內湖區
Feature,1546.0,南京建國路口,Point,"121.53726707927139, 25.051971318695863",121.53726707927142,25.051971318695866,台灣台北市中山區南京東路三段6號,台北市,中山區
Feature,50005.0,南京建國路口,Point,"121.53632, 25.051932804899966",121.53631999999999,25.05193280489997,台灣台北市中山區南京建國路口,台北市,中山區
Feature,50004.0,南京復興路口,Point,"121.54378623781417, 25.0517807398776",121.54378623781416,25.0517807398776,台灣台北市中山區南京東路三段224號,台北市,中山區
Feature,50001.0,南京敦化路口,Point,"121.54839714497624, 25.051645501694846",121.54839714497624,25.05164550169485,台灣台北市松山區敦化北路40號,台北市,松山區
