鄉鎮市區,土地移轉總坪數,都市土地使用分區,總樓層數,主要用途,主要建材,建物移轉總坪數,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,每坪單價,車位類別,車位移轉總坪數,土地,建物,車位,轉移樓層,建物類型,Area,EightCount,ParkCount,FuneralCount,GasCount,CrimeCount,PoliceCount,busCount,subwayCount,govCount,clinicCount,hospitalCount,pharmacyCount,fireareaCount,firewayCount,土地面積,總人口數,男性人數,女性人數,人口密度,每戶人數,每戶成年人數,所得收入總計,可支配所得,消費支出,儲蓄,所得總額
中正區,10.42415039090564,住,10,住家用,鋼筋混凝土造,64.6714774251804,2,1,1,有,無,998641.284865,坡道平面,13.421925503322205,1,1,1,8,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.4536002795100105,住,10,住家用,鋼筋混凝土造,50.00325187512195,2,1,1,有,無,1076505.744755,坡道平面,13.421925503322205,1,1,1,9,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,4.4709501676606305,住,10,住家用,鋼筋混凝土造,35.29267632347536,1,1,1,有,無,1120218.13981,坡道平面,13.421925503322205,1,1,1,10,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,5.112250191709381,住,10,住家用,鋼筋混凝土造,25.23152594618222,1,1,1,有,無,911556.9906100001,0,0.0,1,1,0,2,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,5.154600193297506,住,10,住家用,鋼筋混凝土造,38.65345144950443,1,1,1,有,無,950003.2701600001,坡道平面,13.421925503322205,1,1,1,3,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,5.154600193297506,住,10,住家用,鋼筋混凝土造,38.65345144950443,1,1,1,有,無,951190.0469750001,坡道平面,13.421925503322205,1,1,1,4,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,5.154600193297506,住,10,住家用,鋼筋混凝土造,38.65647644961787,1,1,1,有,無,955947.0715900001,坡道機械,13.424950503435644,1,1,1,5,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,5.154600193297506,住,10,住家用,鋼筋混凝土造,38.65647644961787,1,1,1,有,無,978023.1038200001,坡道平面,13.421925503322205,1,1,1,6,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,5.154600193297506,住,10,住家用,鋼筋混凝土造,38.65345144950443,1,1,1,有,無,980122.277295,坡道平面,13.421925503322205,1,1,1,7,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,2.686200100732504,商,15,見其他登記事項,鋼筋混凝土造,38.4175014406563,3,2,2,有,無,1062016.4891000001,升降機械,0.0,1,1,1,12,住宅大樓,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
