鄉鎮市區,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,總樓層數,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,土地,建物,車位,轉移樓層,建物類型
內湖區,25.54,住,1090318,15,住家用,鋼筋混凝土造,154.17,3,2,2,有,無,24100000,164887,坡道機械,16.5,1400000,1,1,1,15,住宅大樓
內湖區,25.12,住,1081110,15,住家用,鋼筋混凝土造,135.68,3,2,2,有,無,22500000,165831,0,0.0,0,1,1,0,1,住宅大樓
內湖區,25.54,住,1090417,15,住家用,鋼筋混凝土造,154.17,3,2,2,有,無,24100000,164887,坡道機械,16.5,1400000,1,1,1,15,住宅大樓
大安區,31.43,住,1090208,12,住家用,鋼筋混凝土造,246.02,3,2,2,有,無,85500000,438098,坡道平面,68.32,7650000,1,1,2,4,住宅大樓
大安區,31.43,住,1090118,12,住家用,鋼筋混凝土造,246.02,3,2,2,有,無,83880000,428981,坡道平面,68.32,7650000,1,1,2,3,住宅大樓
大安區,31.43,住,1090110,12,住家用,鋼筋混凝土造,297.45,4,2,2,有,無,106880000,431982,坡道平面,68.32,7900000,1,1,2,4,住宅大樓
大安區,31.43,住,1090109,12,住家用,鋼筋混凝土造,297.45,4,2,2,有,無,105730000,426963,坡道平面,68.32,7900000,1,1,2,3,住宅大樓
大安區,31.43,住,1090219,12,住家用,鋼筋混凝土造,249.5,3,2,2,有,無,84880000,420466,坡道平面,68.32,8700000,1,1,2,2,住宅大樓
大安區,31.43,住,1090219,12,住家用,鋼筋混凝土造,246.78,0,0,0,無,無,82400000,417460,坡道平面,68.32,7900000,1,1,2,2,住宅大樓
大安區,31.43,住,1090221,12,住家用,鋼筋混凝土造,315.68,4,2,2,有,無,117850000,493668,坡道平面,102.48,12600000,1,1,3,8,住宅大樓
大安區,31.43,住,1090307,12,住家用,鋼筋混凝土造,215.34,3,2,2,有,無,81500000,424992,坡道平面,34.16,4500000,1,1,1,4,住宅大樓
中山區,8.43,商,1041128,14,住家用,鋼筋混凝土造,82.87,2,1,1,有,無,28000000,337879,0,0.0,0,1,1,0,4,住宅大樓
中山區,7.1,商,1050510,14,住家用,鋼筋混凝土造,69.73,2,1,1,有,無,22700000,325541,0,0.0,0,1,1,0,7,住宅大樓
中山區,7.1,商,1050527,14,住家用,鋼筋混凝土造,69.73,2,1,1,有,無,21500000,308332,0,0.0,0,1,1,0,5,住宅大樓
中山區,7.1,商,1050506,14,住家用,鋼筋混凝土造,69.84,2,1,1,有,無,22000000,315006,0,0.0,0,1,1,0,5,住宅大樓
中山區,7.11,商,1050310,14,住家用,鋼筋混凝土造,69.85,2,1,1,有,無,20500000,293486,0,0.0,0,1,1,0,4,住宅大樓
中山區,6.98,商,1050412,14,住家用,鋼筋混凝土造,68.58,1,1,1,有,無,22000000,320793,0,0.0,0,1,1,0,5,住宅大樓
中正區,15.38,住,1030320,10,住家用,鋼筋混凝土造,119.64,1,1,1,有,無,26300000,314866,坡道平面,44.37,2600000,1,1,1,2,華廈
中正區,17.04,住,1030329,10,住家用,鋼筋混凝土造,127.79,1,1,1,有,無,26150000,282306,坡道平面,44.37,2600000,1,1,1,3,華廈
中正區,16.9,住,1030501,10,住家用,鋼筋混凝土造,83.42,1,1,1,有,無,23920000,286742,0,0.0,0,1,1,0,4,華廈
中正區,17.04,住,1030309,10,住家用,鋼筋混凝土造,127.79,1,1,1,有,無,27150000,294329,坡道機械,44.38,2600000,1,1,1,5,華廈
中正區,17.04,住,1030308,10,住家用,鋼筋混凝土造,127.8,1,1,1,有,無,26880000,293455,坡道機械,44.38,2400000,1,1,1,6,華廈
中正區,17.04,住,1030408,10,住家用,鋼筋混凝土造,127.8,1,1,1,有,無,27000000,296691,坡道機械,44.38,2250000,1,1,1,7,華廈
中正區,16.88,住,1030404,10,住家用,鋼筋混凝土造,127.04,1,1,1,有,無,27900000,301198,坡道平面,44.37,3000000,1,1,1,8,華廈
中正區,16.88,住,1030330,10,住家用,鋼筋混凝土造,127.04,1,1,1,有,無,27880000,303375,坡道平面,44.37,2800000,1,1,1,9,華廈
中正區,16.88,住,1030328,10,住家用,鋼筋混凝土造,127.04,1,1,1,有,無,28300000,308455,坡道平面,44.37,2800000,1,1,1,10,華廈
中正區,23.75,住,1030423,10,住家用,鋼筋混凝土造,160.95,2,1,1,有,無,34880000,278631,坡道機械,44.38,2400000,1,1,1,2,華廈
中正區,23.75,住,1030413,10,住家用,鋼筋混凝土造,160.94,2,1,1,有,無,35790000,281290,坡道平面,44.37,3000000,1,1,1,3,華廈
中正區,23.75,住,1030417,10,住家用,鋼筋混凝土造,160.94,2,1,1,有,無,36000000,283092,坡道平面,44.37,3000000,1,1,1,4,華廈
中正區,23.75,住,1030323,10,住家用,鋼筋混凝土造,160.95,2,1,1,有,無,35750000,287381,坡道機械,44.38,2250000,1,1,1,5,華廈
中正區,23.75,住,1030423,10,住家用,鋼筋混凝土造,160.95,2,1,1,有,無,36180000,289783,坡道機械,44.38,2400000,1,1,1,6,華廈
中正區,23.75,住,1030404,10,住家用,鋼筋混凝土造,160.94,2,1,1,有,無,36800000,291670,坡道平面,44.37,2800000,1,1,1,7,華廈
中正區,23.92,住,1030309,10,住家用,鋼筋混凝土造,161.77,2,1,1,有,無,37200000,296448,坡道機械,44.38,2400000,1,1,1,8,華廈
中正區,23.85,住,1030404,10,住家用,鋼筋混凝土造,161.4,2,1,1,有,無,38050000,299496,坡道平面,44.37,3000000,1,1,1,9,華廈
中正區,16.55,住,1030404,10,住家用,鋼筋混凝土造,125.38,2,1,1,有,無,29300000,324651,坡道平面,44.37,3000000,1,1,1,10,華廈
中正區,24.02,住,1030423,10,住家用,鋼筋混凝土造,162.26,2,1,1,有,無,35000000,274832,坡道平面,44.37,2600000,1,1,1,2,華廈
中正區,24.02,住,1030430,10,住家用,鋼筋混凝土造,162.26,2,1,1,有,無,36200000,281618,坡道平面,44.37,3000000,1,1,1,3,華廈
中正區,24.02,住,1030530,10,住家用,鋼筋混凝土造,162.26,2,1,1,有,無,35830000,280176,坡道平面,44.37,2800000,1,1,1,4,華廈
中正區,24.02,住,1030318,10,住家用,鋼筋混凝土造,162.26,2,1,1,有,無,35980000,283145,坡道平面,44.37,2600000,1,1,1,5,華廈
中正區,24.02,住,1030416,10,住家用,鋼筋混凝土造,162.26,2,1,1,有,無,37000000,288404,坡道平面,44.37,3000000,1,1,1,6,華廈
中正區,24.02,住,1030407,10,住家用,鋼筋混凝土造,162.26,2,1,1,有,無,37000000,290101,坡道平面,44.37,2800000,1,1,1,7,華廈
中正區,34.46,住,1030331,10,住家用,鋼筋混凝土造,213.79,2,1,1,有,無,53980000,302089,坡道平面,44.37,2800000,1,1,1,8,華廈
中正區,24.64,住,1030511,10,住家用,鋼筋混凝土造,165.3,2,1,1,有,無,42180000,325643,坡道平面,44.37,2800000,1,1,1,9,華廈
中正區,14.78,住,1030328,10,住家用,鋼筋混凝土造,116.67,1,1,1,有,無,27300000,338866,坡道平面,44.37,2800000,1,1,1,10,華廈
