年月底別,行政區,土地面積[平方公里],里數[里],鄰數[鄰],戶數[戶],人口數/總計[人],人口數/男[人],人口數/女[人],性比例[男/百女],戶量[人/戶],人口密度[人/平方公里]
105年11月,大安區,11.3614,53,1023,120482,311421,145568,165853,87.77,2.58,27410
105年11月,中山區,13.6821,42,868,99600,231164,107858,123306,87.47,2.32,16895
105年11月,中正區,7.6071,31,580,65033,160513,76664,83849,91.43,2.47,21100
105年11月,大同區,5.6815,25,522,51590,130104,63484,66620,95.29,2.52,22900
105年11月,萬華區,8.8522,36,723,78563,193551,95227,98324,96.85,2.46,21865
105年11月,文山區,31.509,43,997,104879,275220,132181,143039,92.41,2.62,8735
105年11月,南港區,21.8424,20,452,46827,122563,59946,62617,95.73,2.62,5611
105年11月,內湖區,31.5787,39,905,107189,287620,137574,150046,91.69,2.68,9108
105年11月,士林區,62.3682,51,995,106718,289873,140024,149849,93.44,2.72,4648
105年11月,北投區,56.8216,42,826,96372,257431,124233,133198,93.27,2.67,4531
105年12月,總計,271.7997,456,9556,1047284,2695704,1289510,1406194,91.7,2.57,9918
105年12月,松山區,9.2878,33,760,80313,208326,97953,110373,88.75,2.59,22430
105年12月,信義區,11.2077,41,904,89544,227823,108923,118900,91.61,2.54,20327
105年12月,大安區,11.3614,53,1023,120518,311506,145617,165889,87.78,2.58,27418
105年12月,中山區,13.6821,42,868,99610,231247,107850,123397,87.4,2.32,16901
105年12月,中正區,7.6071,31,580,64984,160403,76610,83793,91.43,2.47,21086
105年12月,大同區,5.6815,25,522,51597,130071,63469,66602,95.3,2.52,22894
105年12月,萬華區,8.8522,36,723,78551,193539,95212,98327,96.83,2.46,21863
105年12月,文山區,31.509,43,998,104939,275231,132153,143078,92.36,2.62,8735
105年12月,南港區,21.8424,20,452,46809,122516,59907,62609,95.68,2.62,5609
105年12月,內湖區,31.5787,39,905,107193,287733,137619,150114,91.68,2.68,9112
105年12月,士林區,62.3682,51,995,106807,289939,140011,149928,93.39,2.71,4649
105年12月,北投區,56.8216,42,826,96419,257370,124186,133184,93.24,2.67,4529
106年1月,總計,271.7997,456,9555,1047393,2695371,1289308,1406063,91.7,2.57,9917
106年1月,松山區,9.2878,33,760,80325,208289,97938,110351,88.75,2.59,22426
106年1月,信義區,11.2077,41,904,89502,227666,108864,118802,91.63,2.54,20313
