年月底別,行政區,土地面積[平方公里],里數[里],鄰數[鄰],戶數[戶],人口數/總計[人],人口數/男[人],人口數/女[人],性比例[男/百女],戶量[人/戶],人口密度[人/平方公里]
91年8月,內湖區,31.5787,29,863,84553,257219,126775,130444,97.19,3.04,8145
91年8月,士林區,62.3682,50,996,92714,291512,144089,147423,97.74,3.14,4674
91年8月,北投區,56.8216,40,854,80717,248617,123042,125575,97.98,3.08,4375
91年9月,總計,271.7997,449,10187,904725,2637215,1299949,1337266,97.21,2.91,9703
91年9月,松山區,9.2878,33,783,71459,205120,98996,106124,93.28,2.87,22085
91年9月,信義區,11.2077,41,968,83339,237129,117865,119264,98.83,2.85,21158
91年9月,大安區,11.3614,53,1067,111154,315220,151711,163509,92.78,2.84,27745
91年9月,中山區,13.6821,42,905,81831,216955,104694,112261,93.26,2.65,15857
91年9月,中正區,7.6071,31,631,58420,161625,79765,81860,97.44,2.77,21247
91年9月,大同區,5.6815,25,647,43726,130954,65797,65157,100.98,2.99,23049
91年9月,萬華區,8.8522,36,755,70872,203359,103582,99777,103.81,2.87,22973
91年9月,文山區,31.509,39,1144,88238,255642,126511,129131,97.97,2.9,8113
91年9月,南港區,21.8424,19,454,37162,113784,57108,56676,100.76,3.06,5209
91年9月,內湖區,31.5787,37,981,84820,257482,126890,130592,97.17,3.04,8154
91年9月,士林區,62.3682,51,998,92870,291363,144008,147355,97.73,3.14,4672
91年9月,北投區,56.8216,42,854,80834,248582,123022,125560,97.98,3.08,4375
91年10月,總計,271.7997,449,10188,905497,2639094,1300578,1338516,97.17,2.91,9710
91年10月,松山區,9.2878,33,783,71465,205013,98952,106061,93.3,2.87,22073
91年10月,信義區,11.2077,41,968,83403,237301,117934,119367,98.8,2.85,21173
91年10月,大安區,11.3614,53,1067,111231,315387,151710,163677,92.69,2.84,27760
91年10月,中山區,13.6821,42,905,81969,217174,104789,112385,93.24,2.65,15873
91年10月,中正區,7.6071,31,631,58500,161767,79792,81975,97.34,2.77,21265
91年10月,大同區,5.6815,25,647,43766,131006,65813,65193,100.95,2.99,23058
91年10月,萬華區,8.8522,36,755,70944,203427,103628,99799,103.84,2.87,22980
91年10月,文山區,31.509,39,1145,88309,256003,126647,129356,97.91,2.9,8125
91年10月,南港區,21.8424,19,454,37180,113893,57139,56754,100.68,3.06,5214
91年10月,內湖區,31.5787,37,981,84933,257919,127086,130833,97.14,3.04,8167
91年10月,士林區,62.3682,51,998,92920,291368,143964,147404,97.67,3.14,4672
91年10月,北投區,56.8216,42,854,80877,248836,123124,125712,97.94,3.08,4379
91年11月,總計,271.7997,449,10188,906630,2641786,1301718,1340068,97.14,2.91,9720
91年11月,松山區,9.2878,33,783,71583,205192,99012,106180,93.25,2.87,22093
91年11月,信義區,11.2077,41,968,83499,237483,117987,119496,98.74,2.84,21189
91年11月,大安區,11.3614,53,1067,111323,315754,151891,163863,92.69,2.84,27792
91年11月,中山區,13.6821,42,905,82101,217496,104908,112588,93.18,2.65,15896
91年11月,中正區,7.6071,31,631,58550,161962,79865,82097,97.28,2.77,21291
91年11月,大同區,5.6815,25,647,43794,131088,65854,65234,100.95,2.99,23073
91年11月,萬華區,8.8522,36,755,70997,203491,103663,99828,103.84,2.87,22988
91年11月,文山區,31.509,39,1145,88496,256512,126891,129621,97.89,2.9,8141
91年11月,南港區,21.8424,19,454,37238,113984,57171,56813,100.63,3.06,5218
91年11月,內湖區,31.5787,37,981,85051,258296,127273,131023,97.14,3.04,8179
91年11月,士林區,62.3682,51,998,93003,291552,144024,147528,97.62,3.13,4675
91年11月,北投區,56.8216,42,854,80995,248976,123179,125797,97.92,3.07,4382
91年12月,總計,271.7997,449,10188,906988,2641856,1301458,1340398,97.09,2.91,9720
91年12月,松山區,9.2878,33,783,71589,205289,99034,106255,93.2,2.87,22103
91年12月,信義區,11.2077,41,968,83502,237362,117891,119471,98.68,2.84,21178
91年12月,大安區,11.3614,53,1067,111296,315714,151810,163904,92.62,2.84,27788
91年12月,中山區,13.6821,42,905,82174,217569,104931,112638,93.16,2.65,15902
91年12月,中正區,7.6071,31,631,58528,161808,79728,82080,97.13,2.76,21271
91年12月,大同區,5.6815,25,647,43827,131077,65867,65210,101.01,2.99,23071
91年12月,萬華區,8.8522,36,755,71033,203451,103574,99877,103.7,2.86,22983
91年12月,文山區,31.509,39,1145,88491,256528,126912,129616,97.91,2.9,8141
91年12月,南港區,21.8424,19,454,37240,113839,57111,56728,100.68,3.06,5212
91年12月,內湖區,31.5787,37,981,85169,258611,127391,131220,97.08,3.04,8189
91年12月,士林區,62.3682,51,998,93056,291493,143976,147517,97.6,3.13,4674
91年12月,北投區,56.8216,42,854,81083,249115,123233,125882,97.9,3.07,4384
92年1月,總計,271.7997,449,9444,907114,2640303,1300439,1339864,97.06,2.91,9714
92年1月,松山區,9.2878,33,750,71593,205137,98942,106195,93.17,2.87,22087
92年1月,信義區,11.2077,41,911,83550,237274,117794,119480,98.59,2.84,21171
92年1月,大安區,11.3614,53,1025,111180,315414,151627,163787,92.58,2.84,27762
92年1月,中山區,13.6821,42,864,82157,217451,104852,112599,93.12,2.65,15893
92年1月,中正區,7.6071,31,584,58520,161624,79626,81998,97.11,2.76,21246
92年1月,大同區,5.6815,25,516,43820,130903,65732,65171,100.86,2.99,23040
92年1月,萬華區,8.8522,36,724,71045,203214,103452,99762,103.7,2.86,22956
92年1月,文山區,31.509,39,987,88520,256334,126791,129543,97.88,2.9,8135
92年1月,南港區,21.8424,19,423,37253,113697,57035,56662,100.66,3.05,5205
92年1月,內湖區,31.5787,37,859,85221,258768,127445,131323,97.05,3.04,8194
92年1月,士林區,62.3682,51,984,93114,291348,143907,147441,97.6,3.13,4671
92年1月,北投區,56.8216,42,817,81141,249139,123236,125903,97.88,3.07,4385
92年2月,總計,271.7997,449,9444,907341,2639139,1299729,1339410,97.04,2.91,9710
92年2月,松山區,9.2878,33,750,71677,205198,98918,106280,93.07,2.86,22093
92年2月,信義區,11.2077,41,911,83506,237065,117692,119373,98.59,2.84,21152
92年2月,大安區,11.3614,53,1025,111167,315118,151476,163642,92.57,2.83,27736
92年2月,中山區,13.6821,42,864,82199,217448,104863,112585,93.14,2.65,15893
92年2月,中正區,7.6071,31,584,58538,161518,79596,81922,97.16,2.76,21233
92年2月,大同區,5.6815,25,516,43815,130676,65588,65088,100.77,2.98,23000
92年2月,萬華區,8.8522,36,724,71025,202901,103284,99617,103.68,2.86,22921
92年2月,文山區,31.509,39,987,88546,256329,126760,129569,97.83,2.89,8135
92年2月,南港區,21.8424,19,423,37267,113636,56997,56639,100.63,3.05,5203
92年2月,內湖區,31.5787,37,859,85258,258889,127508,131381,97.05,3.04,8198
92年2月,士林區,62.3682,51,984,93105,291116,143780,147336,97.59,3.13,4668
92年2月,北投區,56.8216,42,817,81238,249245,123267,125978,97.85,3.07,4386
92年3月,總計,271.7997,449,9444,908231,2638065,1298949,1339116,97,2.9,9706
92年3月,松山區,9.2878,33,750,71874,205339,98973,106366,93.05,2.86,22108
92年3月,信義區,11.2077,41,911,83549,236860,117542,119318,98.51,2.83,21134
92年3月,大安區,11.3614,53,1025,111163,314750,151235,163515,92.49,2.83,27703
92年3月,中山區,13.6821,42,864,82336,217498,104910,112588,93.18,2.64,15897
92年3月,中正區,7.6071,31,584,58568,161446,79536,81910,97.1,2.76,21223
92年3月,大同區,5.6815,25,516,43895,130631,65564,65067,100.76,2.98,22992
92年3月,萬華區,8.8522,36,724,71056,202740,103184,99556,103.64,2.85,22903
92年3月,文山區,31.509,39,987,88665,256265,126693,129572,97.78,2.89,8133
92年3月,南港區,21.8424,19,423,37248,113543,56945,56598,100.61,3.05,5198
92年3月,內湖區,31.5787,37,859,85369,258906,127494,131412,97.02,3.03,8199
92年3月,士林區,62.3682,51,984,93128,290759,143607,147152,97.59,3.12,4662
92年3月,北投區,56.8216,42,817,81380,249328,123266,126062,97.78,3.06,4388
92年4月,總計,271.7997,449,9444,908911,2636955,1298263,1338692,96.98,2.9,9702
92年4月,松山區,9.2878,33,750,72060,205636,99077,106559,92.98,2.85,22140
92年4月,信義區,11.2077,41,911,83512,236538,117362,119176,98.48,2.83,21105
92年4月,大安區,11.3614,53,1025,111243,314675,151176,163499,92.46,2.83,27697
92年4月,中山區,13.6821,42,864,82465,217561,104948,112613,93.19,2.64,15901
92年4月,中正區,7.6071,31,584,58572,161501,79556,81945,97.08,2.76,21230
92年4月,大同區,5.6815,25,516,43936,130512,65483,65029,100.7,2.97,22971
92年4月,萬華區,8.8522,36,724,71084,202475,103065,99410,103.68,2.85,22873
92年4月,文山區,31.509,39,987,88755,256143,126637,129506,97.78,2.89,8129
92年4月,南港區,21.8424,19,423,37260,113447,56888,56559,100.58,3.04,5194
92年4月,內湖區,31.5787,37,859,85390,258688,127361,131327,96.98,3.03,8192
92年4月,士林區,62.3682,51,984,93174,290583,143519,147064,97.59,3.12,4659
92年4月,北投區,56.8216,42,817,81460,249196,123191,126005,97.77,3.06,4386
92年5月,總計,271.7997,449,9445,909396,2633645,1296554,1337091,96.97,2.9,9690
92年5月,松山區,9.2878,33,750,72304,205529,99013,106516,92.96,2.84,22129
92年5月,信義區,11.2077,41,911,83477,236099,117138,118961,98.47,2.83,21066
92年5月,大安區,11.3614,53,1025,111209,314037,150846,163191,92.44,2.82,27641
92年5月,中山區,13.6821,42,864,82458,217187,104692,112495,93.06,2.63,15874
92年5月,中正區,7.6071,31,584,58614,161376,79471,81905,97.03,2.75,21214
92年5月,大同區,5.6815,25,516,43973,130296,65402,64894,100.78,2.96,22933
92年5月,萬華區,8.8522,36,724,70913,201387,102571,98816,103.8,2.84,22750
92年5月,文山區,31.509,39,987,88800,256215,126644,129571,97.74,2.89,8131
92年5月,南港區,21.8424,19,424,37296,113294,56806,56488,100.56,3.04,5187
92年5月,內湖區,31.5787,37,859,85537,258807,127447,131360,97.02,3.03,8196
92年5月,士林區,62.3682,51,984,93254,290388,143438,146950,97.61,3.11,4656
92年5月,北投區,56.8216,42,817,81561,249030,123086,125944,97.73,3.05,4383
92年6月,總計,271.7997,449,9449,910176,2631380,1295144,1336236,96.92,2.89,9681
92年6月,松山區,9.2878,33,750,72397,205338,98908,106430,92.93,2.84,22108
92年6月,信義區,11.2077,41,911,83495,235811,116934,118877,98.37,2.82,21040
92年6月,大安區,11.3614,53,1025,111229,313794,150659,163135,92.35,2.82,27619
92年6月,中山區,13.6821,42,864,82476,216976,104551,112425,93,2.63,15858
92年6月,中正區,7.6071,31,584,58633,161037,79253,81784,96.91,2.75,21169
92年6月,大同區,5.6815,25,516,44150,130266,65367,64899,100.72,2.95,22928
92年6月,萬華區,8.8522,36,724,70952,200954,102345,98609,103.79,2.83,22701
92年6月,文山區,31.509,39,991,88903,256130,126633,129497,97.79,2.88,8129
92年6月,南港區,21.8424,19,424,37309,113205,56749,56456,100.52,3.03,5183
92年6月,內湖區,31.5787,37,859,85696,258915,127508,131407,97.03,3.02,8199
92年6月,士林區,62.3682,51,984,93239,289949,143212,146737,97.6,3.11,4649
92年6月,北投區,56.8216,42,817,81697,249005,123025,125980,97.65,3.05,4382
92年7月,總計,271.7997,449,9450,911130,2629874,1294291,1335583,96.91,2.89,9676
92年7月,松山區,9.2878,33,750,72485,205164,98828,106336,92.94,2.83,22090
92年7月,信義區,11.2077,41,911,83487,235497,116784,118713,98.38,2.82,21012
92年7月,大安區,11.3614,53,1025,111325,313660,150605,163055,92.36,2.82,27608
92年7月,中山區,13.6821,42,864,82577,216892,104485,112407,92.95,2.63,15852
92年7月,中正區,7.6071,31,585,58695,160792,79101,81691,96.83,2.74,21137
92年7月,大同區,5.6815,25,516,44140,130090,65261,64829,100.67,2.95,22897
92年7月,萬華區,8.8522,36,724,70986,200718,102225,98493,103.79,2.83,22674
92年7月,文山區,31.509,39,991,89027,256078,126580,129498,97.75,2.88,8127
92年7月,南港區,21.8424,19,424,37371,113185,56766,56419,100.62,3.03,5182
92年7月,內湖區,31.5787,37,859,85844,259066,127549,131517,96.98,3.02,8204
92年7月,士林區,62.3682,51,984,93352,289696,143074,146622,97.58,3.1,4645
92年7月,北投區,56.8216,42,817,81841,249036,123033,126003,97.64,3.04,4383
92年8月,總計,271.7997,449,9449,912027,2628160,1293185,1334975,96.87,2.88,9669
92年8月,松山區,9.2878,33,750,72609,205129,98771,106358,92.87,2.83,22086
92年8月,信義區,11.2077,41,911,83528,235227,116589,118638,98.27,2.82,20988
92年8月,大安區,11.3614,53,1025,111402,313271,150428,162843,92.38,2.81,27573
92年8月,中山區,13.6821,42,864,82698,216756,104416,112340,92.95,2.62,15842
92年8月,中正區,7.6071,31,584,58738,160557,78924,81633,96.68,2.73,21106
92年8月,大同區,5.6815,25,516,44158,129975,65174,64801,100.58,2.94,22877
92年8月,萬華區,8.8522,36,724,71038,200629,102160,98469,103.75,2.82,22664
92年8月,文山區,31.509,39,991,89122,255916,126500,129416,97.75,2.87,8122
92年8月,南港區,21.8424,19,424,37426,113220,56780,56440,100.6,3.03,5183
92年8月,內湖區,31.5787,37,859,85924,259026,127489,131537,96.92,3.01,8203
92年8月,士林區,62.3682,51,984,93416,289442,142947,146495,97.58,3.1,4641
92年8月,北投區,56.8216,42,817,81968,249012,123007,126005,97.62,3.04,4382
92年9月,總計,271.7997,449,9449,913243,2626320,1292132,1334188,96.85,2.88,9663
92年9月,松山區,9.2878,33,750,72796,205038,98761,106277,92.93,2.82,22076
92年9月,信義區,11.2077,41,911,83596,234822,116351,118471,98.21,2.81,20952
92年9月,大安區,11.3614,53,1025,111479,312921,150293,162628,92.42,2.81,27542
92年9月,中山區,13.6821,42,864,82873,216679,104350,112329,92.9,2.61,15837
92年9月,中正區,7.6071,31,585,58744,160231,78734,81497,96.61,2.73,21063
92年9月,大同區,5.6815,25,516,44235,129786,65094,64692,100.62,2.93,22844
92年9月,萬華區,8.8522,36,724,71088,200406,101999,98407,103.65,2.82,22639
92年9月,文山區,31.509,39,991,89283,256063,126527,129536,97.68,2.87,8127
92年9月,南港區,21.8424,19,423,37473,113164,56728,56436,100.52,3.02,5181
92年9月,內湖區,31.5787,37,859,86107,259210,127571,131639,96.91,3.01,8208
92年9月,士林區,62.3682,51,984,93470,289073,142763,146310,97.58,3.09,4635
92年9月,北投區,56.8216,42,817,82099,248927,122961,125966,97.61,3.03,4381
92年10月,總計,271.7997,449,9448,913550,2626652,1292087,1334565,96.82,2.88,9664
92年10月,松山區,9.2878,33,750,72857,205270,98873,106397,92.93,2.82,22101
92年10月,信義區,11.2077,41,911,83591,234733,116305,118428,98.21,2.81,20944
92年10月,大安區,11.3614,53,1025,111468,312896,150236,162660,92.36,2.81,27540
92年10月,中山區,13.6821,42,864,82923,216697,104347,112350,92.88,2.61,15838
92年10月,中正區,7.6071,31,584,58767,160214,78757,81457,96.69,2.73,21061
92年10月,大同區,5.6815,25,516,44235,129736,65062,64674,100.6,2.93,22835
92年10月,萬華區,8.8522,36,724,71102,200334,101971,98363,103.67,2.82,22631
92年10月,文山區,31.509,39,991,89310,256067,126520,129547,97.66,2.87,8127
92年10月,南港區,21.8424,19,423,37484,113237,56740,56497,100.43,3.02,5184
92年10月,內湖區,31.5787,37,859,86151,259367,127584,131783,96.81,3.01,8213
92年10月,士林區,62.3682,51,984,93515,289013,142686,146327,97.51,3.09,4634
92年10月,北投區,56.8216,42,817,82147,249088,123006,126082,97.56,3.03,4384
92年11月,總計,271.7997,449,9449,914113,2626723,1291876,1334847,96.78,2.87,9664
92年11月,松山區,9.2878,33,750,72957,205466,98984,106482,92.96,2.82,22122
92年11月,信義區,11.2077,41,911,83592,234506,116163,118343,98.16,2.81,20924
92年11月,大安區,11.3614,53,1025,111519,312947,150218,162729,92.31,2.81,27545
92年11月,中山區,13.6821,42,864,82996,216780,104369,112411,92.85,2.61,15844
92年11月,中正區,7.6071,31,584,58751,160115,78681,81434,96.62,2.73,21048
92年11月,大同區,5.6815,25,516,44273,129627,65010,64617,100.61,2.93,22816
92年11月,萬華區,8.8522,36,724,71145,200277,101911,98366,103.6,2.82,22625
92年11月,文山區,31.509,39,991,89346,256164,126572,129592,97.67,2.87,8130
92年11月,南港區,21.8424,19,423,37515,113151,56699,56452,100.44,3.02,5180
92年11月,內湖區,31.5787,37,859,86235,259534,127636,131898,96.77,3.01,8219
92年11月,士林區,62.3682,51,985,93611,289096,142707,146389,97.48,3.09,4635
92年11月,北投區,56.8216,42,817,82173,249060,122926,126134,97.46,3.03,4383
92年12月,總計,271.7997,449,9455,914716,2627138,1291742,1335396,96.73,2.87,9666
92年12月,松山區,9.2878,33,756,73033,205593,99021,106572,92.91,2.82,22136
92年12月,信義區,11.2077,41,911,83662,234590,116130,118460,98.03,2.8,20931
92年12月,大安區,11.3614,53,1025,111585,313011,150235,162776,92.3,2.81,27550
92年12月,中山區,13.6821,42,864,83127,216999,104491,112508,92.87,2.61,15860
92年12月,中正區,7.6071,31,584,58592,159599,78392,81207,96.53,2.72,20980
92年12月,大同區,5.6815,25,516,44274,129440,64889,64551,100.52,2.92,22783
92年12月,萬華區,8.8522,36,724,71232,200266,101903,98363,103.6,2.81,22623
92年12月,文山區,31.509,39,991,89463,256506,126681,129825,97.58,2.87,8141
92年12月,南港區,21.8424,19,423,37579,113122,56669,56453,100.38,3.01,5179
92年12月,內湖區,31.5787,37,859,86266,259789,127727,132062,96.72,3.01,8227
92年12月,士林區,62.3682,51,985,93689,289194,142700,146494,97.41,3.09,4637
92年12月,北投區,56.8216,42,817,82214,249029,122904,126125,97.45,3.03,4383
93年1月,總計,271.7997,449,9455,914944,2627382,1291514,1335868,96.68,2.87,9667
93年1月,松山區,9.2878,33,756,73026,205544,98984,106560,92.89,2.81,22131
93年1月,信義區,11.2077,41,911,83646,234597,116071,118526,97.93,2.8,20932
93年1月,大安區,11.3614,53,1025,111641,313227,150266,162961,92.21,2.81,27569
93年1月,中山區,13.6821,42,864,83160,217081,104549,112532,92.91,2.61,15866
93年1月,中正區,7.6071,31,584,58616,159631,78376,81255,96.46,2.72,20984
93年1月,大同區,5.6815,25,516,44261,129323,64808,64515,100.45,2.92,22762
93年1月,萬華區,8.8522,36,724,71231,200145,101823,98322,103.56,2.81,22610
93年1月,文山區,31.509,39,991,89536,256645,126716,129929,97.53,2.87,8145
93年1月,南港區,21.8424,19,423,37600,113201,56710,56491,100.39,3.01,5183
93年1月,內湖區,31.5787,37,859,86228,259710,127618,132092,96.61,3.01,8224
93年1月,士林區,62.3682,51,985,93746,289142,142660,146482,97.39,3.08,4636
93年1月,北投區,56.8216,42,817,82253,249136,122933,126203,97.41,3.03,4385
93年2月,總計,271.7997,449,9455,915220,2627843,1291424,1336419,96.63,2.87,9668
93年2月,松山區,9.2878,33,756,73071,205752,99037,106715,92.81,2.82,22153
93年2月,信義區,11.2077,41,911,83617,234483,115979,118504,97.87,2.8,20922
93年2月,大安區,11.3614,53,1025,111641,313355,150275,163080,92.15,2.81,27581
93年2月,中山區,13.6821,42,864,83166,217049,104525,112524,92.89,2.61,15864
93年2月,中正區,7.6071,31,584,58635,159690,78415,81275,96.48,2.72,20992
93年2月,大同區,5.6815,25,516,44281,129376,64849,64527,100.5,2.92,22771
93年2月,萬華區,8.8522,36,724,71242,200039,101763,98276,103.55,2.81,22598
93年2月,文山區,31.509,39,991,89585,256802,126777,130025,97.5,2.87,8150
93年2月,南港區,21.8424,19,423,37585,113189,56706,56483,100.39,3.01,5182
93年2月,內湖區,31.5787,37,859,86288,259843,127627,132216,96.53,3.01,8228
93年2月,士林區,62.3682,51,985,93804,289054,142528,146526,97.27,3.08,4635
93年2月,北投區,56.8216,42,817,82305,249211,122943,126268,97.37,3.03,4386
93年3月,總計,271.7997,449,9455,915561,2627029,1290710,1336319,96.59,2.87,9665
93年3月,松山區,9.2878,33,756,73100,205698,98988,106710,92.76,2.81,22147
93年3月,信義區,11.2077,41,911,83582,234171,115766,118405,97.77,2.8,20894
93年3月,大安區,11.3614,53,1025,111628,313066,150086,162980,92.09,2.8,27555
93年3月,中山區,13.6821,42,864,83131,216948,104426,112522,92.8,2.61,15856
93年3月,中正區,7.6071,31,584,58665,159646,78401,81245,96.5,2.72,20986
93年3月,大同區,5.6815,25,516,44308,129347,64813,64534,100.43,2.92,22766
93年3月,萬華區,8.8522,36,724,71265,199923,101681,98242,103.5,2.81,22585
93年3月,文山區,31.509,39,991,89686,256982,126825,130157,97.44,2.87,8156
93年3月,南港區,21.8424,19,423,37579,113014,56608,56406,100.36,3.01,5174
93年3月,內湖區,31.5787,37,859,86364,260106,127719,132387,96.47,3.01,8237
93年3月,士林區,62.3682,51,985,93888,288926,142468,146458,97.28,3.08,4633
93年3月,北投區,56.8216,42,817,82365,249202,122929,126273,97.35,3.03,4386
93年4月,總計,271.7997,449,9456,916338,2625895,1289848,1336047,96.54,2.87,9661
93年4月,松山區,9.2878,33,756,73158,205828,98971,106857,92.62,2.81,22161
93年4月,信義區,11.2077,41,911,83600,233900,115604,118296,97.72,2.8,20870
93年4月,大安區,11.3614,53,1025,111636,312956,149993,162963,92.04,2.8,27546
93年4月,中山區,13.6821,42,864,83226,216983,104439,112544,92.8,2.61,15859
93年4月,中正區,7.6071,31,584,58712,159609,78373,81236,96.48,2.72,20982
93年4月,大同區,5.6815,25,516,44383,129270,64741,64529,100.33,2.91,22753
93年4月,萬華區,8.8522,36,725,71311,199569,101519,98050,103.54,2.8,22545
93年4月,文山區,31.509,39,991,89823,257042,126864,130178,97.45,2.86,8158
93年4月,南港區,21.8424,19,423,37605,112932,56520,56412,100.19,3,5170
93年4月,內湖區,31.5787,37,859,86478,260148,127667,132481,96.37,3.01,8238
93年4月,士林區,62.3682,51,985,93948,288659,142372,146287,97.32,3.07,4628
93年4月,北投區,56.8216,42,817,82458,248999,122785,126214,97.28,3.02,4382
93年5月,總計,271.7997,449,9456,917709,2625512,1289528,1335984,96.52,2.86,9660
93年5月,松山區,9.2878,33,756,73349,205997,99033,106964,92.59,2.81,22179
93年5月,信義區,11.2077,41,911,83648,233587,115496,118091,97.8,2.79,20842
93年5月,大安區,11.3614,53,1025,111792,313059,149998,163061,91.99,2.8,27555
93年5月,中山區,13.6821,42,864,83375,216912,104378,112534,92.75,2.6,15854
93年5月,中正區,7.6071,31,584,58784,159489,78326,81163,96.5,2.71,20966
93年5月,大同區,5.6815,25,516,44471,129152,64680,64472,100.32,2.9,22732
93年5月,萬華區,8.8522,36,725,71339,199277,101373,97904,103.54,2.79,22512
93年5月,文山區,31.509,39,991,90025,257211,126945,130266,97.45,2.86,8163
93年5月,南港區,21.8424,19,423,37657,112952,56521,56431,100.16,3,5171
93年5月,內湖區,31.5787,37,859,86618,260262,127680,132582,96.3,3,8242
93年5月,士林區,62.3682,51,985,94080,288598,142328,146270,97.3,3.07,4627
93年5月,北投區,56.8216,42,817,82571,249016,122770,126246,97.25,3.02,4382
93年6月,總計,271.7997,449,9456,918772,2625445,1289075,1336370,96.46,2.86,9659
93年6月,松山區,9.2878,33,756,73450,206075,98963,107112,92.39,2.81,22188
93年6月,信義區,11.2077,41,911,83657,233429,115420,118009,97.81,2.79,20828
93年6月,大安區,11.3614,53,1025,111908,313184,149999,163185,91.92,2.8,27566
93年6月,中山區,13.6821,42,864,83456,216811,104316,112495,92.73,2.6,15846
93年6月,中正區,7.6071,31,584,58817,159437,78248,81189,96.38,2.71,20959
93年6月,大同區,5.6815,25,516,44507,129062,64633,64429,100.32,2.9,22716
93年6月,萬華區,8.8522,36,725,71388,198922,101177,97745,103.51,2.79,22471
93年6月,文山區,31.509,39,991,90197,257508,127043,130465,97.38,2.85,8173
93年6月,南港區,21.8424,19,423,37704,112946,56518,56428,100.16,3,5171
93年6月,內湖區,31.5787,37,859,86753,260451,127712,132739,96.21,3,8248
93年6月,士林區,62.3682,51,985,94238,288691,142363,146328,97.29,3.06,4629
93年6月,北投區,56.8216,42,817,82697,248929,122683,126246,97.18,3.01,4381
93年7月,總計,271.7997,449,9457,919592,2624858,1288462,1336396,96.41,2.85,9657
93年7月,松山區,9.2878,33,756,73506,206125,98954,107171,92.33,2.8,22193
93年7月,信義區,11.2077,41,911,83668,233167,115216,117951,97.68,2.79,20804
93年7月,大安區,11.3614,53,1025,112033,313189,149967,163222,91.88,2.8,27566
93年7月,中山區,13.6821,42,864,83505,216670,104183,112487,92.62,2.59,15836
93年7月,中正區,7.6071,31,584,58832,159265,78139,81126,96.32,2.71,20936
93年7月,大同區,5.6815,25,516,44524,128880,64501,64379,100.19,2.89,22684
93年7月,萬華區,8.8522,36,726,71396,198688,101067,97621,103.53,2.78,22445
93年7月,文山區,31.509,39,991,90348,257637,127079,130558,97.34,2.85,8177
93年7月,南港區,21.8424,19,423,37766,112931,56541,56390,100.27,2.99,5170
93年7月,內湖區,31.5787,37,859,86823,260459,127699,132760,96.19,3,8248
93年7月,士林區,62.3682,51,985,94352,288717,142333,146384,97.23,3.06,4629
93年7月,北投區,56.8216,42,817,82839,249130,122783,126347,97.18,3.01,4384
93年8月,總計,271.7997,449,9457,921133,2624139,1287912,1336227,96.38,2.85,9655
93年8月,松山區,9.2878,33,756,73623,206040,98933,107107,92.37,2.8,22184
93年8月,信義區,11.2077,41,911,83821,232973,115060,117913,97.58,2.78,20787
93年8月,大安區,11.3614,53,1025,112198,312976,149821,163155,91.83,2.79,27547
93年8月,中山區,13.6821,42,864,83735,216718,104249,112469,92.69,2.59,15840
93年8月,中正區,7.6071,31,584,58891,159034,78008,81026,96.28,2.7,20906
93年8月,大同區,5.6815,25,516,44558,128791,64448,64343,100.16,2.89,22668
93年8月,萬華區,8.8522,36,726,71412,198349,100900,97449,103.54,2.78,22407
93年8月,文山區,31.509,39,991,90552,257696,127096,130600,97.32,2.85,8178
93年8月,南港區,21.8424,19,423,37867,112969,56581,56388,100.34,2.98,5172
93年8月,內湖區,31.5787,37,859,87014,260654,127730,132924,96.09,3,8254
93年8月,士林區,62.3682,51,985,94527,288829,142351,146478,97.18,3.06,4631
93年8月,北投區,56.8216,42,817,82935,249110,122735,126375,97.12,3,4384
93年9月,總計,271.7997,449,9455,922789,2621641,1286582,1335059,96.37,2.84,9645
93年9月,松山區,9.2878,33,756,73711,205675,98735,106940,92.33,2.79,22145
93年9月,信義區,11.2077,41,911,83913,232678,114879,117799,97.52,2.77,20761
93年9月,大安區,11.3614,53,1025,112394,312410,149597,162813,91.88,2.78,27497
93年9月,中山區,13.6821,42,864,84007,216591,104193,112398,92.7,2.58,15830
93年9月,中正區,7.6071,31,584,58918,158532,77749,80783,96.24,2.69,20840
93年9月,大同區,5.6815,25,516,44567,128528,64296,64232,100.1,2.88,22622
93年9月,萬華區,8.8522,36,724,71474,198195,100804,97391,103.5,2.77,22389
93年9月,文山區,31.509,39,991,90770,257661,127070,130591,97.3,2.84,8177
93年9月,南港區,21.8424,19,423,37922,112957,56589,56368,100.39,2.98,5171
93年9月,內湖區,31.5787,37,859,87244,260843,127796,133047,96.05,2.99,8260
93年9月,士林區,62.3682,51,985,94773,288699,142256,146443,97.14,3.05,4629
93年9月,北投區,56.8216,42,817,83096,248872,122618,126254,97.12,2.99,4380
93年10月,總計,271.7997,449,9455,922681,2621826,1286497,1335329,96.34,2.84,9646
93年10月,松山區,9.2878,33,756,73707,205821,98840,106981,92.39,2.79,22160
93年10月,信義區,11.2077,41,911,83863,232572,114788,117784,97.46,2.77,20751
93年10月,大安區,11.3614,53,1025,112401,312412,149547,162865,91.82,2.78,27498
93年10月,中山區,13.6821,42,864,84010,216621,104190,112431,92.67,2.58,15832
93年10月,中正區,7.6071,31,584,58865,158528,77710,80818,96.15,2.69,20839
93年10月,大同區,5.6815,25,516,44552,128541,64321,64220,100.16,2.89,22624
93年10月,萬華區,8.8522,36,724,71405,197963,100646,97317,103.42,2.77,22363
