年別,行政區,家庭戶數[戶],每戶人數[人],每戶成年人數[人],每戶就業人數[人],每戶所得收入者人數[人],一、所得收入總計[元],1.受僱人員報酬,[1]本業薪資,[2]兼業薪資,[3]其他收入,2.產業主所得,3.財產所得收入,4.自用住宅設算租金收入,5.經常移轉收入,[1]從私人,[2]從政府,[3]社會保險受益,[4]從企業,[5]從國外,6.雜項收入,二、非消費支出[元],1.利息支出,2.經常移轉支出,[1]對私人,[2]對政府,[3]社會保險,[4]對國外,三、消費支出[元],1.食品及非酒精飲料,2.菸酒及檳榔,3.衣著鞋襪及服飾用品,4.住宅服務、水電瓦斯及 其他燃料,[1]房地租及水費,[2]電費及燃料,5.家具設備及家務維護,6.醫療保健,7.交通,[1]個人交通工具之購置,[2]個人交通設備使用管理及 保養費,[3]乘交通設備及其他交通服務,[4]汽、機車保險費,8.通訊,9.休閒與文化,[1]套裝旅遊[不含自助旅遊],[2]娛樂消遣及文化服務,[3]書報雜誌文具,[4]教育消遣康樂器材及其附屬品,10.教育,11.餐廳及旅館,12.什項消費,可支配所得[元],消費支出[元],儲蓄[元],所得總額[元]
107年,士林區,107354,3.15,2.65,1.31,1.75,1634686,942135,698569,60924,182642,159396,98200,106953,327971,131573,48657,139662,1234,6844,32,267708,13157,254551,64705,48243,135571,6032,1047816,156889,8439,24847,300984,280428,20556,26561,142494,74217,951,41629,27522,4115,26392,83017,51498,15910,5499,10110,37929,106650,59397,1366979,1047816,319162,1738387
107年,北投區,96943,3.39,2.95,1.44,1.94,1624732,978488,712192,62453,203843,171051,94939,96631,283581,91038,43891,142878,4478,1295,42,255953,12477,243476,58556,42761,142121,39,1097841,173856,7211,25947,282706,262561,20145,32515,171555,82787,6567,44754,27622,3844,28357,97918,68431,17497,4317,7674,29850,111097,54041,1368779,1097841,270939,1748745
108年,總平均,1058621,3.1,2.66,1.41,1.92,1723021,1031478,750145,55953,225380,167475,141013,106865,276093,92582,38483,142635,1174,1219,98,300621,14529,286092,75568,60384,147052,3089,1152501,161150,8371,32881,306002,286574,19428,35623,155722,82268,4715,48122,25151,4280,28480,108796,72146,19444,4757,12449,34876,136809,61523,1422400,1152501,269900,1839410
108年,松山區,81372,3.1,2.69,1.34,1.96,1882186,1144794,812202,65619,266973,170538,166340,130009,270409,88281,35710,143349,181,2889,95,333182,13723,319458,99446,57154,156833,6026,1261799,168890,8176,42386,351177,331516,19661,36510,170403,88089,5865,53882,23597,4744,29947,114953,78816,17455,5548,13134,35921,162313,53035,1549005,1261799,287205,2027777
108年,信義區,89427,2.98,2.65,1.3,1.92,1809238,966931,679464,55006,232461,237934,208215,83436,312717,126214,33925,147003,5575,0,6,271719,6680,265039,62173,62875,136801,3190,1200421,165385,7837,31845,297887,279053,18834,33491,155292,98712,24443,44719,26334,3216,26571,150331,116039,21498,4000,8794,29137,143387,60547,1537519,1200421,337098,1944642
108年,大安區,121526,3.03,2.6,1.33,1.85,1961348,1130814,818081,59290,253444,215017,200684,142234,272595,93070,33773,140754,375,4624,3,371146,16284,354862,105542,97060,146779,5480,1299939,173348,6032,36272,392261,371634,20627,41793,151943,92982,775,50437,36702,5068,30054,109610,72444,20305,5778,11083,43552,146855,75237,1590202,1299939,290263,2109095
108年,中山區,100537,2.89,2.51,1.32,1.84,1614178,882392,636212,62848,183331,217673,116922,121990,275098,82116,32519,157830,32,2601,103,274476,19084,255392,77099,47487,127036,3770,1071429,156814,7249,29947,309898,290668,19230,30570,150836,69510,701,38956,26714,3138,27707,89863,63043,13797,3571,9453,29178,117550,52308,1339702,1071429,268273,1720988
108年,中正區,65635,2.83,2.39,1.21,1.73,1744835,1114097,749778,107457,256862,131640,142763,98129,257892,92567,45887,119189,249,0,314,294273,8400,285872,72633,71854,141277,108,1171917,159089,7573,31357,346256,326936,19320,32510,160699,77495,475,50692,21713,4615,28797,102863,69751,16494,4494,12123,35280,123832,66165,1450563,1171917,278646,1894842
108年,大同區,51965,3.12,2.64,1.43,1.81,1575517,894841,676983,15791,202067,176739,142387,99737,261719,81650,37808,140636,1626,0,94,262161,13337,248824,68230,40990,139569,35,1012764,156493,9018,22492,242530,223903,18627,30746,138627,61193,2929,35614,19625,3025,27721,95379,64704,17294,4256,9125,30550,130017,67998,1313356,1012764,300591,1660340
108年,萬華區,79029,3.07,2.66,1.51,1.99,1492804,883661,667072,40473,176116,157924,79483,93053,278207,87007,41019,148019,2162,0,477,258068,12186,245883,63485,43438,138895,66,1010475,154442,7406,28711,244768,227384,17384,28625,140694,62359,2800,36712,19714,3133,26568,94753,65081,17773,3837,8062,31740,137178,53232,1234736,1010475,224261,1572599
108年,文山區,107025,3.09,2.58,1.41,1.78,1617574,979602,726890,57309,195403,219892,103494,89594,224888,65398,42098,115882,1509,0,104,269367,16475,252892,55534,53307,143991,60,1139546,155015,9719,33924,291753,273505,18248,44825,148651,92359,9150,54712,22338,6159,28852,114932,64908,25477,4270,20277,32782,126187,60547,1348206,1139546,208660,1730811
108年,南港區,47449,3.08,2.68,1.41,1.83,1597905,1012812,724126,58920,229766,73871,131587,83818,295718,86512,35250,172465,1491,0,99,244450,7040,237411,50999,51181,134974,257,1082222,143562,8836,38856,233228,214373,18855,40302,196658,72637,0,44884,23946,3807,25848,118281,80628,18389,3071,16193,28023,123288,52704,1353455,1082222,271232,1670561
108年,內湖區,109087,3.27,2.82,1.59,2.07,1719507,1126804,838200,46897,241708,121794,88438,111079,271391,93633,37126,139225,1162,246,0,347825,15549,332276,96549,53995,176341,5391,1206333,178624,10278,40168,324262,302043,22219,37730,159197,94233,5309,63241,20868,4815,30616,90719,48723,22540,6497,12960,39083,137146,64277,1371682,1206333,165349,1850136
108年,士林區,107933,3.3,2.77,1.46,2.08,1815176,1075811,791179,44205,240427,137786,211609,92844,297113,109488,48640,136938,143,1903,13,327153,19151,308002,75686,71228,153634,7454,1149631,150352,10318,28804,290009,270636,19373,26944,161473,81234,1442,46961,28879,3952,29205,130287,93280,19881,4930,12197,39643,136398,64966,1488023,1149631,338391,1918797
108年,北投區,97636,3.3,2.79,1.5,2.02,1655468,1073282,796743,56972,219566,88300,83191,111203,299448,98754,38204,162135,355,0,45,277766,17425,260341,55034,52134,152930,242,1085141,157088,8072,26952,268960,249800,19160,39589,149148,74086,456,45902,23362,4366,27266,91701,53293,18406,5143,14858,34558,147192,60532,1377702,1085141,292561,1747667
