type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度
Feature,3395.0,三重客運,Point,"121.49669, 25.06556",121.49669, 25.06556
Feature,10628.0,三重客運,Point,"121.49700297972615, 25.06554061028073",121.49700297972615, 25.06554061028073
Feature,3488.0,三重派出所(重新路),Point,"121.50172254833998, 25.063729548027982",121.50172254833998, 25.063729548027982
Feature,20263.0,三重派出所(重新路),Point,"121.50194, 25.063588",121.50194, 25.063588
Feature,3398.0,三重派出所(福德北路),Point,"121.50223513127997, 25.06462365946895",121.50223513127997, 25.06462365946895
Feature,10433.0,三重派出所(福德北路),Point,"121.50229355588998, 25.064900166556974",121.50229355588998, 25.064900166556974
Feature,3394.0,三重區公所(新北大道),Point,"121.4881014763173, 25.061485297576915",121.4881014763173, 25.061485297576915
Feature,13210.0,三重區公所(新北大道),Point,"121.48862960531986, 25.061240533100136",121.48862960531986, 25.061240533100136
Feature,3393.0,三重區公所(過圳街),Point,"121.48778, 25.0606",121.48778, 25.0606
Feature,3400.0,三重商工(三民街),Point,"121.47923644179997, 25.067990989217968",121.47923644179997, 25.067990989217968
Feature,10623.0,三重商工(三民街),Point,"121.47935026256998, 25.068097321211",121.47935026256998, 25.068097321211
Feature,3401.0,三重商工(中正北路),Point,"121.48053588108804, 25.068807723085925",121.48053588108804, 25.068807723085925
Feature,10618.0,三重商工(中正北路),Point,"121.4805290958459, 25.06860437759327",121.4805290958459, 25.06860437759327
Feature,4804.0,三重國小,Point,"121.49817, 25.06949",121.49817, 25.06949
Feature,4803.0,三重國小,Point,"121.49806, 25.06934",121.49806, 25.06934
Feature,13206.0,三重國民運動中心,Point,"121.48849323676997, 25.053995140325032",121.48849323676997, 25.053995140325032
Feature,3417.0,三重國民運動中心,Point,"121.48865, 25.05421",121.48865, 25.05421
Feature,10474.0,三重稅捐分處,Point,"121.48691825685806, 25.06040898746863",121.48691825685806, 25.06040898746863
Feature,3455.0,三重稅捐分處,Point,"121.48663201222998, 25.06030506082601",121.48663201222998, 25.06030506082601
Feature,3403.0,三重郵局,Point,"121.49806, 25.060928",121.49806, 25.060928
Feature,1001208.0,三峽二站,Point,"121.37893, 24.941215",121.37893, 24.941215
Feature,1001205.0,三峽二站,Point,"121.37893, 24.941253",121.37893, 24.941253
Feature,3262.0,三峽分局,Point,"121.37495, 24.93012",121.37495, 24.93012
Feature,18025.0,三峽分局,Point,"121.37521, 24.93055",121.37521, 24.93055
Feature,18048.0,三峽老街,Point,"121.37437874603998, 24.936198100713995",121.37437874603998, 24.936198100713995
Feature,3263.0,三峽老街,Point,"121.3741, 24.93559",121.3741, 24.93559
Feature,18005.0,三峽老街,Point,"121.37408, 24.93578",121.37408, 24.93578
Feature,18058.0,三峽老街,Point,"121.37418789814996, 24.936083085286974",121.37418789814996, 24.936083085286974
Feature,3265.0,三峽站,Point,"121.3672, 24.93771",121.3672, 24.93771
Feature,3266.0,三峽國小,Point,"121.36904, 24.93604",121.36904, 24.93604
Feature,3267.0,三峽國小,Point,"121.36942, 24.93599",121.36942, 24.93599
Feature,3268.0,三峽國中,Point,"121.37059003173997, 24.938404841571963",121.37059003173997, 24.938404841571963
Feature,18055.0,三峽國中,Point,"121.36956837035997, 24.938935066166",121.36956837035997, 24.938935066166
Feature,20272.0,上磺溪橋(魚路古道),Point,"121.58248, 25.179738",121.58248, 25.179738
Feature,20331.0,上磺溪橋(魚路古道),Point,"121.5825, 25.1796",121.5825, 25.1796
Feature,3605.0,下坡角,Point,"121.42183118979982, 25.03489606055897",121.42183118979982, 25.03489606055897
Feature,36068.0,下坡角,Point,"121.4218992723998, 25.035244730517135",121.4218992723998, 25.035244730517135
Feature,1001049.0,下城里,Point,"121.52628466997999, 24.963064518735024",121.52628466997999, 24.963064518735024
Feature,2857.0,下城里,Point,"121.52598037912998, 24.962944892647013",121.52598037912998, 24.962944892647013
Feature,2858.0,下城社區,Point,"121.52352513127998, 24.963473525569015",121.52352513127998, 24.963473525569015
Feature,1001050.0,下城社區,Point,"121.52425849498968, 24.963601891722032",121.52425849498968, 24.963601891722032
Feature,3607.0,下泰山巖,Point,"121.43243150440009, 25.061041489528915",121.43243150440009, 25.061041489528915
Feature,3606.0,下泰山巖,Point,"121.4324497345995, 25.060678098175675",121.4324497345995, 25.060678098175675
Feature,3788.0,下街仔,Point,"121.43143, 25.15839",121.43143, 25.15839
Feature,15022.0,下街仔,Point,"121.43192819377997, 25.15864439706096",121.43192819377997, 25.15864439706096
Feature,1001204.0,土地公廟,Point,"121.39632147485997, 25.145722393126988",121.39632147485997, 25.145722393126988
Feature,15025.0,土地公廟,Point,"121.39647218650995, 25.14558575865196",121.39647218650995, 25.14558575865196
Feature,3174.0,土城,Point,"121.43998, 24.97136",121.43998, 24.97136
Feature,10083.0,土城,Point,"121.43993, 24.9716",121.43993, 24.9716
Feature,3176.0,土城工業區,Point,"121.42466416930998, 24.962719883831976",121.42466416930998, 24.962719883831976
Feature,10070.0,土城工業區,Point,"121.42506, 24.96267",121.42506, 24.96267
Feature,3178.0,土城市公所,Point,"121.44303, 24.97172",121.44303, 24.97172
Feature,3180.0,土城看守所,Point,"121.45974953372998, 24.988026144126007",121.45974953372998, 24.988026144126007
Feature,3179.0,土城看守所,Point,"121.45992212764997, 24.98816504227697",121.45992212764997, 24.98816504227697
Feature,1000662.0,土城站,Point,"121.44414, 24.980739",121.44414, 24.980739
Feature,4024.0,土城站,Point,"121.45345, 24.97951",121.45345, 24.97951
Feature,3177.0,土城區公所,Point,"121.44314, 24.97158",121.44314, 24.97158
Feature,10072.0,土城國中,Point,"121.43101, 24.9651",121.43101, 24.9651
Feature,3182.0,土城國中,Point,"121.42989, 24.96478",121.42989, 24.96478
Feature,3183.0,土城農會,Point,"121.44138, 24.97428",121.44138, 24.97428
Feature,10084.0,土城農會,Point,"121.44166, 24.97458",121.44166, 24.97458
Feature,2824.0,土庫,Point,"121.63280677705623, 25.010987547067828",121.63280677705623, 25.010987547067828
Feature,12214.0,土庫,Point,"121.63297253446599, 25.01087073131085",121.63297253446599, 25.01087073131085
Feature,2861.0,土銀訓練中心,Point,"121.55006443187997, 24.952299139259978",121.55006443187997, 24.952299139259978
Feature,1001041.0,土銀訓練中心,Point,"121.55014068254997, 24.952160960740002",121.55014068254997, 24.952160960740002
Feature,3173.0,大同工廠,Point,"121.44374244906999, 24.983276699463946",121.44374244906999, 24.983276699463946
Feature,10088.0,大同工廠,Point,"121.44376979628997, 24.982928153111033",121.44376979628997, 24.982928153111033
Feature,50841.0,大同育幼院,Point,"121.49861, 24.9957",121.49861, 24.9957
Feature,3053.0,大同育幼院,Point,"121.49839005885997, 24.99584099745399",121.49839005885997, 24.99584099745399
Feature,14240.0,大同街口,Point,"121.47626344047995, 25.02667891190402",121.47626344047995, 25.02667891190402
Feature,2555.0,大同街口,Point,"121.47651822089998, 25.02660501274301",121.47651822089998, 25.02660501274301
