Name,Longtitude,Latitude,Address,Area,St,Li,Lin,ZIP,Enrollment_Number
臺北市南港區南港國民小學附設幼兒園,121.6105787,25.0571037,臺北市南港區三重里25鄰惠民街67號,南港區,惠民街,三重里,25鄰,115,106
臺北市南港區東新國民小學附設幼兒園,121.60211,25.056042,臺北市南港區東新里7鄰興南街62號,南港區,興南街,東新里,7鄰,115,90
臺北市南港區玉成國民小學附設幼兒園,121.594745,25.053584,臺北市南港區西新里1鄰向陽路31號,南港區,向陽路,西新里,1鄰,115,152
臺北市南港區修德國民小學附設幼兒園,121.5896272,25.0454795,臺北市南港區成福里7鄰東新街118巷86號,南港區,東新街,成福里,7鄰,115,174
臺北市南港區成德國民小學附設幼兒園,121.5896,25.0474583,臺北市南港區聯成里12鄰東新街65號,南港區,東新街,聯成里,12鄰,115,166
臺北市南港區舊莊國民小學附設幼兒園,121.61952,25.04132,臺北市南港區舊莊里3鄰舊莊街1段100號,南港區,舊莊街,舊莊里,3鄰,115,174
臺北市立南港幼兒園,121.5988385,25.0578101,臺北市南港區重陽里5鄰重陽路199巷28號,南港區,重陽路,重陽里,5鄰,115,150
臺北市內湖區西湖國民小學附設幼兒園,121.5657339,25.0838152,臺北市內湖區西湖里13鄰環山路一段25號,內湖區,環山路,西湖里,13鄰,114,84
臺北市內湖區文湖國民小學附設幼兒園,121.560085,25.085741,臺北市內湖區西康里4鄰文湖街15號,內湖區,文湖街,西康里,4鄰,114,182
臺北市內湖區內湖國民小學附設幼兒園,121.5802502,25.0792037,臺北市內湖區港富里22鄰內湖路二段41號1樓,內湖區,內湖路,港富里,22鄰,114,128
臺北市內湖區碧湖國民小學附設幼兒園,121.5914025,25.0841216,臺北市內湖區內湖里6鄰金龍路100號,內湖區,金龍路,內湖里,6鄰,114,152
臺北市內湖區大湖國民小學附設幼兒園,121.6003372,25.087477,臺北市內湖區大湖里9鄰大湖山莊街170號,內湖區,大湖山莊街,大湖里,9鄰,114,160
臺北市內湖區康寧國民小學附設幼兒園,121.5948174,25.0800624,臺北市內湖區清白里30鄰星雲街121號,內湖區,星雲街,清白里,30鄰,114,150
臺北市內湖區南湖國民小學附設幼兒園,121.6116241,25.0681686,臺北市內湖區葫洲里25鄰康寧路三段200號,內湖區,康寧路,葫洲里,25鄰,114,180
臺北市立內湖幼兒園,121.5806569,25.073664,臺北市內湖區瑞光里20鄰陽光街265巷9號,內湖區,陽光街,瑞光里,20鄰,114,212
臺北市內湖區東湖國民小學附設幼兒園,121.6161245,25.0692279,臺北市內湖區東湖里1鄰東湖路115號,內湖區,東湖路,東湖里,1鄰,114,196
臺北市內湖區潭美國民小學附設幼兒園,121.5814098,25.0593458,臺北市內湖區週美里21鄰行善路179號,內湖區,行善路,週美里,21鄰,114,46
臺北市內湖區新湖國民小學附設幼兒園,121.5884679,25.0682888,臺北市內湖區湖興里15鄰民權東路六段138號,內湖區,民權東路,湖興里,15鄰,114,196
臺北市內湖區麗湖國民小學附設幼兒園,121.601146,25.072992,臺北市內湖區金湖里2鄰金湖路363巷8號,內湖區,金湖路,金湖里,2鄰,114,166
臺北市內湖區明湖國民小學附設幼兒園,121.6106806,25.0711096,臺北市內湖區明湖里9鄰康寧路三段105號1樓,內湖區,康寧路,明湖里,9鄰,114,90
臺北市內湖區麗山國民小學附設幼兒園,121.572405,25.0835175,臺北市內湖區麗山里9鄰港華街100號,內湖區,港華街,麗山里,9鄰,114,196
臺北市士林區士林國民小學附設幼兒園,121.5249268,25.0933199,臺北市士林區福德里4鄰大東路165號,士林區,大東路,福德里,4鄰,111,136
臺北市士林區福林國民小學附設幼兒園,121.5295965,25.0986884,臺北市士林區福志里13鄰福志路75號,士林區,福志路,福志里,13鄰,111,106
臺北市士林區百齡國民小學附設幼兒園,121.5178692,25.086145,臺北市士林區福中里7鄰福港街205號,士林區,福港街,福中里,7鄰,111,226
臺北市立士林幼兒園,121.5193419,25.0817482,臺北市士林區福華里17鄰通河街179巷2號,士林區,通河街,福華里,17鄰,111,150
臺北市士林區劍潭國民小學附設幼兒園,121.5228989,25.0798338,臺北市士林區明勝里5鄰通河街16號,士林區,通河街,明勝里,5鄰,111,120
臺北市士林區葫蘆國民小學附設幼兒園,121.5074579,25.0839019,臺北市士林區葫蘆里15鄰環河北路3段95號,士林區,環河北路,葫蘆里,15鄰,111,136
臺北市士林區社子國民小學附設幼兒園,121.50271,25.0899325,臺北市士林區永倫里1鄰延平北路六段308號,士林區,延平北路,永倫里,1鄰,111,234
臺北市士林區富安國民小學附設幼兒園,121.4824416,25.1058687,臺北市士林區富洲里5鄰延平北路八段135號,士林區,延平北路,富洲里,5鄰,111,106
臺北市士林區雨聲國民小學附設幼兒園,121.5352657,25.1026251,臺北市士林區岩山里5鄰至誠路一段62巷70號,士林區,至誠路,岩山里,5鄰,111,152
