Date,Area,value
2015-01-01,大同區,555828.468584972
2015-01-01,萬華區,512659.302960477
2015-01-01,文山區,466128.051295535
2015-01-01,南港區,519397.258659029
2015-01-01,內湖區,543703.711276377
2015-01-01,士林區,545701.507711323
2015-01-01,北投區,459155.351675445
2015-02-01,松山區,687114.050274316
2015-02-01,信義區,628474.500823496
2015-02-01,大安區,737245.944891366
2015-02-01,中山區,650897.148329616
2015-02-01,中正區,655121.386314313
2015-02-01,大同區,554092.246371133
2015-02-01,萬華區,510871.045459669
2015-02-01,文山區,464064.182433916
2015-02-01,南港區,533026.009448813
2015-02-01,內湖區,539686.537599198
2015-02-01,士林區,553442.10433169
2015-02-01,北投區,458861.88946139
2015-03-01,松山區,692408.090515793
2015-03-01,信義區,620466.189223647
2015-03-01,大安區,724004.424048776
2015-03-01,中山區,642036.358864358
2015-03-01,中正區,653126.204419366
2015-03-01,大同區,562701.4086264
2015-03-01,萬華區,495396.809771235
2015-03-01,文山區,465135.695029198
2015-03-01,南港區,552965.906376475
2015-03-01,內湖區,541078.769440509
2015-03-01,士林區,566859.070742659
2015-03-01,北投區,474310.916280832
2015-04-01,松山區,695261.876104716
2015-04-01,信義區,624758.996188678
2015-04-01,大安區,734133.569782953
2015-04-01,中山區,638911.584640905
2015-04-01,中正區,695587.524247005
2015-04-01,大同區,553071.598976715
2015-04-01,萬華區,493884.987022919
2015-04-01,文山區,473301.193424245
2015-04-01,南港區,521888.861903459
2015-04-01,內湖區,543532.295466766
2015-04-01,士林區,558844.703728741
2015-04-01,北投區,465259.73004377
2015-05-01,松山區,682060.139871651
2015-05-01,信義區,621537.425149896
2015-05-01,大安區,711435.085009688
2015-05-01,中山區,643082.440084945
2015-05-01,中正區,675756.287944094
2015-05-01,大同區,546444.990979254
2015-05-01,萬華區,500471.817571164
2015-05-01,文山區,467358.994493506
2015-05-01,南港區,551206.790091854
2015-05-01,內湖區,526110.579009292
2015-05-01,士林區,568106.717877781
2015-05-01,北投區,472895.329933205
2015-06-01,松山區,677764.558850836
2015-06-01,信義區,634848.041932759
2015-06-01,大安區,685327.005605726
